Date,Calibration,Product,Rev,Serial,OscType,intOsc,vcoValue,minError(ns),maxError(ns),slope(ns/vco)
11/1/23,53220A,Blink,EV6,1,2, ,1940,2,2,-7.2
11/1/23,53220A,Blink,EV6,2,2, ,1950,13,13,-6.3
11/26/23,53220A,Blink,EV8,3,2,-542, ,-14,8,-0.3
11/26/23,TM2500C,Clock,EV8,4,10,,3250,-18,6,-0.015
11/26/23,53220A,Clock,EV8,5,0,-658,,144,160,
11/26/23,53220A,Blink,EV8,6,2,-534, ,-10,8,-0.3
1/7/24,TM2500C,Clock,EV9.0,10,10, ,3300,-12,8,-0.01
1/7/24,TM2500C,Blink,EV9.0,11,2, ,2750,-10,16,-0.25
1/7/24,TM2500C,Blink,EV9.0,7,0,-535, ,-32,42,90
1/7/24,TM2500C,Clock,EV9.1,12,0,-566, ,-40,190,75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2000,194,0.3,,,,,,,
,2500,70,-0.248,2782.258065,,,,,,
,2900,-40,-0.275,2754.545455,,,,,,
,2750,4,-0.293333333,2763.636364,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0,50300,10,,,,,,,
,-534,2150,90,-557.8888889,,,,,,
,-557,450,73.91304348,-563.0882353,,,,,,
,-563,219,75,-565.92,,,,,,
, ,,,,,,,,,